Serial number,Model,PCB #,Panel (A-B),Shell,Source,Date
C10003149,CGB-JPN,Blank,1-2,💜 Grape,DE eBay,2025-06-17
C10031816,CGB-EUR,Blank,1-1,💜 Grape,DE eBay,2025-11-05
C10033787,CGB-EUR,Blank,1-1,💜 Grape,DE eBay,2025-08-07
C10101593,CGB-JPN,Blank,1-1,💜 Grape,JP eBay,2024-11-05
C10101982,CGB-JPN,Blank,1-2,💜 Grape,JP eBay,2024-07-30
C10111172,CGB-EUR,Blank,1-1,💜 Grape,DE eBay,2025-11-13
C10138699,CGB-EUR,Blank,1-1,💜 Grape,US eBay,2024-09-04
C10167425,CGB-EUR,Blank,1-1,💜 Grape,UK eBay,2024-08-13
C10203977,CGB-JPN,Blank,1-2,💜 Grape,gbhwdb.gekkio.fi,2023-05-30
C10206485,CGB-JPN,Blank,1-1,💜 Grape,JP eBay,2024-07-29
C10206613,CGB-JPN,Blank,1-2,💜 Grape,DE eBay,2025-06-18
C10211599,CGB-EUR,Blank,1-2,💜 Grape,UK eBay,2022-06-28
C10230802,CGB-EUR,Blank,1-2,💜 Grape,DE eBay,2025-06-18
C10259594,CGB-EUR,Blank,1-1,💜 Grape,DE eBay,2025-11-18
C10290765,Missing,Blank,6-2,💜 Grape,DE eBay,2025-11-13
C10298975,CGB-JPN,Blank,1-2,🩵 Teal,JP eBay,2024-08-04
C10321663,CGB-EUR,Blank,6-1,💜 Grape,UK eBay,2024-12-01
C10336068,CGB-EUR,Blank,6-1,💜 Grape,UK eBay,2024-08-27
C10339123,CGB-EUR,Blank,1-2,💜 Grape,UK eBay,2025-05-28
C10339903,CGB-EUR,Blank,1-2,💜 Grape,gbhwdb.gekkio.fi,2023-05-30
C10340435,CGB-EUR,Blank,2-1,💜 Grape,UK eBay,2023-05-17
C10342618,CGB-EUR,Blank,2-1,💜 Grape,gbhwdb.gekkio.fi,2023-05-30
C10347304,CGB-EUR,Blank,1-2,💜 Grape,UK eBay,2024-12-05
C10371089,CGB-JPN,Blank,3-2,💛 Dandelion,JP eBay,2023-04-14
C10400331,CGB-JPN,Blank,5-1,🩷 Berry,gbhwdb.gekkio.fi,2023-05-30
C10410000,CGB-JPN,Blank,5-1,🩷 Berry,gbhwdb.gekkio.fi,2023-05-30
C10412198,CGB-JPN,Blank,1-2,🩷 Berry,JP eBay,2024-08-09
C10427204,CGB-JPN,Blank,5-2,🩷 Berry,gbhwdb.gekkio.fi,2023-05-30
C10471461,CGB-EUR,Blank,1-1,💜 Grape,DE eBay,2025-11-18
C10526287,CGB-EUR,Blank,1-2,💜 Grape,UK eBay,2022-06-28
C10530356,CGB-EUR,Blank,1-2,💜 Grape,UK eBay,2024-06-02
C10533155,CGB-EUR,Blank,4-?,💜 Grape,UK eBay,2024-06-07
C10533794,CGB-EUR,Blank,1-1,💜 Grape,UK eBay,2024-11-10
C10536287,CGB-EUR,Blank,1-1,💜 Grape,UK eBay,2022-07-19
C10537482,CGB-EUR,Blank,1-1,💜 Grape,UK eBay,2025-05-29
C10560319,CGB-JPN,Blank,1-2,🩷 Berry,JP eBay,2024-08-10
C10560639,CGB-JPN,Blank,2-1,🩷 Berry,JP eBay,2024-07-22
C10564261,CGB-JPN,Blank,1-1,🩷 Berry,JP eBay,2024-10-31
C10575345,CGB-JPN,Blank,4-1,💟 Atomic purple,JP eBay,2025-11-26
C10610814,CGB-EUR,Blank,5-1,💜 Grape,DE eBay,2025-11-26
C10627284,CGB-EUR,Blank,1-1,💟 Atomic purple,UK eBay,2022-08-02
C10656178,CGB-EUR,Blank,1-2,💜 Grape,UK eBay,2022-06-28
