Date,Serial number,Model,PCB #,Panel (A-B),Shell,Source
2024-11-20,CH10009416,C/CGB-JPN-1,?,?-?,💜 Grape,US eBay
2024-09-13,CH10014750,Reproduction,"02",1-2,💟 Atomic purple,JP eBay
2025-01-01,CH10015972,C/CGB-JPN-1,"02",6-1,💛 Dandelion,JP eBay
2024-09-04,CH10016415,C/CGB-JPN-1,"02",6-1,💛 Dandelion,JP eBay
2024-07-30,CH10017929,C/CGB-JPN-1,"02",1-?,💛 Dandelion,JP eBay
2024-08-10,CH10022636,C/CGB-JPN-1,"02",4-1,💛 Dandelion,JP eBay
2024-11-17,CH10029727,C/CGB-JPN-1,"02",6-1,💛 Dandelion,US eBay
2024-08-16,CH10032692,C/CGB-JPN-1,"02",4-2,💛 Dandelion,JP eBay
2023-05-30,CH10038566,C/CGB-JPN-1,"02",1-2,💟 Atomic purple,gbhwdb.gekkio.fi
2024-08-05,CH10047119,C/CGB-JPN-1,"02",1-2,💟 Atomic purple,JP eBay
2024-11-06,CH10062944,C/CGB-JPN-1,"02",4-2,💟 Atomic purple,JP eBay
2024-07-30,CH10063388,C/CGB-JPN-1,"02",2-2,💟 Atomic purple,JP eBay
2024-09-11,CH10063811,Reproduction,"03",1-2,💟 Atomic purple,JP eBay
2024-07-30,CH10078341,C/CGB-JPN-1,"02",2-1,🤍 Clear translucent,JP eBay
2024-08-05,CH10088531,C/CGB-JPN-1,"02",2-1,🤍 Clear translucent,JP eBay
2024-08-12,CH10092074,C/CGB-JPN-1,"02",2-2,🤍 Clear translucent,JP eBay
2024-09-08,CH10097384,C/CGB-JPN-1,"02",3-2,🤍 Clear translucent,JP eBay
2024-08-10,CH10104644,C/CGB-JPN-1,"02",1-2,🤍 Clear translucent,JP eBay
2024-07-30,CH10105276,C/CGB-JPN-1,"02",4-2,🩵 Teal,JP eBay
2024-09-08,CH10105854,C/CGB-JPN-1,"02",?-1,🩵 Teal,JP eBay
2024-10-26,CH10109385,C/CGB-JPN-1,"02",5-1,🩵 Teal,JP eBay
2024-08-23,CH10126431,C/CGB-JPN-1,"04",1-2,🩵 Teal,US eBay
2024-07-30,CH10131692,C/CGB-JPN-1,"02",1-1,🩵 Teal,JP eBay
2024-12-09,CH10152219,C/CGB-JPN-1,"02",2-?,💜 Grape,JP eBay
2024-08-05,CH10152493,C/CGB-JPN-1,"02",4-2,💜 Grape,JP eBay
2024-08-02,CH10153213,C/CGB-JPN-1,"04",1-1,💜 Grape,UK eBay
2024-09-01,CH10158025,C/CGB-JPN-1,"02",3-1,💜 Grape,JP eBay
2024-09-03,CH10178307,C/CGB-JPN-1,"02",3-2,🩷 Berry,JP eBay
2024-08-05,CH10184003,C/CGB-JPN-1,"02",1-2,🩷 Berry,JP eBay
2022-08-14,CH10191050,C/CGB-JPN-1,"02",1-1,🩷 Berry,JP eBay
2024-09-28,CH10191151,C/CGB-JPN-1,"02",1-1,🩷 Berry,JP eBay
2024-07-30,CH10223612,C/CGB-JPN-1,"02",3-1,🤍 Clear translucent,JP eBay
2024-07-30,CH10237269,C/CGB-JPN-1,"02",3-2,🤍 Clear translucent,JP eBay
2024-08-30,CH10237645,C/CGB-JPN-1,"02",6-2,🤍 Clear translucent,UK eBay
2024-08-22,CH10238313,C/CGB-JPN-1,"02",3-2,🤍 Clear translucent,JP eBay
2024-08-22,CH10240120,C/CGB-JPN-1,"02",3-2,🤍 Clear translucent,JP eBay
2025-01-06,CH10248787,C/CGB-JPN-1,"02",2-2,🤍 Clear translucent,JP eBay
2024-08-12,CH10259444,C/CGB-JPN-1,"02",2-1,🩵 Teal,US eBay
2024-11-27,CH10271278,C/CGB-JPN-1,"02",3-2,💜 Grape,JP eBay
2024-09-01,CH10295644,Missing,"02",3-2,🩷 Berry,JP eBay
2024-07-22,CH10307391,C/CGB-JPN-1,"02",5-2,💟 Atomic purple,JP eBay
2025-05-30,CH10319500,C/CGB-JPN-1,"02",1-2,💟 Atomic purple,UK eBay
2024-07-27,CH10340274,C/CGB-JPN-1,"02",6-2,🩵 Teal,JP eBay
2022-08-11,CH10351165,C/CGB-JPN-1,"02",1-2,🩵 Teal,JP eBay
2024-09-05,CH10374800,C/CGB-JPN-1,"02",1-2,💜 Grape,JP eBay
2024-11-06,CH10461206,C/CGB-JPN-1,"03",4-2,🩵 Teal,JP eBay
2022-06-28,CH10486180,C/CGB-EUR,?,?-?,💜 Grape,UK eBay
2023-05-03,CH10489128,C/CGB-EUR,"03",6-1,💜 Grape,UK eBay
2023-05-03,CH10491878,C/CGB-EUR,"03",3-2,💜 Grape,UK eBay
2022-07-24,CH10492714,C/CGB-EUR,"03",3-1,💜 Grape,UK eBay
2023-05-11,CH10496248,C/CGB-EUR,"03",5-2,💜 Grape,UK eBay
2024-08-28,CH10497755,C/CGB-EUR,"03",6-1,💜 Grape,UK eBay
2023-04-14,CH10497766,C/CGB-EUR,"03",2-2,💜 Grape,UK eBay
2024-07-09,CH10497783,C/CGB-EUR,"03",4-2,💜 Grape,UK Marketplace
2024-08-12,CH10500151,C/CGB-EUR,"03",1-1,💜 Grape,UK eBay
2024-11-07,CH10508236,C/CGB-EUR,"03",3-2,💜 Grape,UK eBay
2023-05-07,CH10511757,C/CGB-EUR,"03",5-2,💜 Grape,UK eBay
2024-08-09,CH10512531,C/CGB-EUR,"03",6-1,💜 Grape,UK eBay
2024-08-12,CH10516317,C/CGB-EUR,"03",4-2,💜 Grape,UK eBay
2023-05-13,CH10522096,Missing,"03",?-?,💜 Grape,UK eBay
2024-06-07,CH10522199,C/CGB-EUR,"03",2-1,💜 Grape,UK eBay
2023-05-09,CH10523007,C/CGB-EUR,"03",3-2,💜 Grape,UK eBay
2022-07-25,CH10524362,C/CGB-EUR,"03",3-1,💜 Grape,UK eBay
2024-11-17,CH10524516,C/CGB-EUR,"03",2-1,💜 Grape,UK eBay
2024-08-30,CH10529071,Missing,"03",5-2,💜 Grape,UK eBay
2025-01-10,CH10571741,C/CGB-EUR,"03",?-1,💜 Grape,UK eBay
2024-05-06,CH10609677,C/CGB-EUR,"03",3-2,💟 Atomic purple,UK eBay
2024-12-06,CH10612239,C/CGB-EUR,"03",5-1,💟 Atomic purple,UK eBay
2024-08-12,CH10614368,C/CGB-EUR,"03",6-2,💟 Atomic purple,UK eBay
2024-07-05,CH10626414,C/CGB-EUR,"03",2-2,💟 Atomic purple,UK eBay
2023-04-15,CH10678842,C/CGB-JPN-1,"03",1-1,🤍 Clear translucent,JP eBay
2024-07-30,CH10732605,C/CGB-JPN-1,"03",2-1,🩷 Berry,JP eBay
2022-06-28,CH10741841,C/CGB-JPN-1,?,?-?,💛 Dandelion,UK eBay
2024-09-08,CH10860318,C/CGB-EUR,"04",4-1,🩵 Teal,US eBay
2024-08-11,CH11018979,C/CGB-JPN-1,"03",2-2,🩵 Teal,AU eBay
2025-01-16,CH11048698,C/CGB-JPN-1,"03",1-2,💛 Dandelion,AU eBay
2024-09-16,CH11193081,C/CGB-JPN-1,"03",5-1,🩵 Teal,AU eBay
2025-01-15,CH11212536,C/CGB-JPN-1,"03",?-2,💛 Dandelion,AU eBay
2023-05-01,CH1124?237,C/CGB-EUR,"03",2-2,🩵 Teal,UK eBay
2024-08-30,CH11335328,C/CGB-EUR,"03",?-?,🩷 Berry,UK eBay
2025-01-21,CH11417063,C/CGB-EUR,"03",5-1,🩵 Teal,UK eBay
2025-06-05,CH11626153,C/CGB-EUR,"03",4-2,💛 Dandelion,IT eBay
2025-01-21,CH11653839,C/CGB-JPN-1,"03",5-2,🩵 Teal,AU eBay
2022-08-02,CH11705856,C/CGB-EUR,"03",4-2,💜 Grape,UK eBay
2024-06-19,CH11711125,C/CGB-EUR,"03",4-2,💜 Grape,UK eBay
2025-02-04,CH11711127,C/CGB-EUR,"03",4-2,💜 Grape,UK eBay
2024-08-10,CH11720767,C/CGB-EUR,"03",5-1,🩵 Teal,UK eBay
2022-07-14,CH11722789,C/CGB-EUR,"03",5-2,🩵 Teal,UK eBay
2022-07-20,CH11724016,C/CGB-EUR,"04",5-2,💛 Dandelion,UK eBay
2023-05-29,CH11725111,C/CGB-EUR,"03",3-2,🩵 Teal,UK eBay
2024-08-09,CH11726091,C/CGB-EUR,"03",5-1,🩵 Teal,UK eBay
2024-09-15,CH11728136,C/CGB-EUR,"03",1-2,🩵 Teal,UK eBay
2022-06-28,CH11734961,C/CGB-EUR,"03",2-1,🩵 Teal,UK eBay
2025-01-15,CH11740083,C/CGB-EUR,"03",?-1,🩵 Teal,UK eBay
2024-08-19,CH11740171,C/CGB-EUR,"03",2-1,🩵 Teal,UK eBay
2022-08-01,CH11755076,C/CGB-EUR,"03",6-1,🩷 Berry,UK eBay
2023-04-22,CH11755868,C/CGB-EUR,"03",5-2,🩷 Berry,UK eBay
2023-05-07,CH11756558,C/CGB-EUR,"03",1-2,🩷 Berry,UK Vinted
2023-05-03,CH11756591,C/CGB-EUR,"03",6-1,🩷 Berry,UK eBay
2025-01-03,CH11756871,C/CGB-EUR,"03",?-1,🩷 Berry,UK eBay
2024-06-30,CH11756890,Missing,"03",1-2,🩷 Berry,UK eBay
2022-07-31,CH11757140,C/CGB-EUR,"03",2-2,🩷 Berry,UK eBay
2024-12-21,CH11757193,C/CGB-EUR,"03",5-2,🩷 Berry,UK eBay
2024-06-30,CH11758419,C/CGB-EUR,"03",6-2,🩷 Berry,UK eBay
2024-12-08,CH11760680,C/CGB-EUR,"03",2-2,🩷 Berry,US eBay
2022-07-31,CH11760878,C/CGB-EUR,"03",2-2,🩷 Berry,UK eBay
2023-05-07,CH11762282,C/CGB-EUR,"03",5-1,🩷 Berry,UK Vinted
2025-06-02,CH11763574,C/CGB-EUR,"03",4-1,🩷 Berry,UK eBay
2022-06-27,CH11764153,C/CGB-EUR,?,?-?,🩷 Berry,UK eBay
2024-05-22,CH11766140,C/CGB-EUR,"03",1-1,💛 Dandelion,UK eBay
2024-08-02,CH11767490,C/CGB-EUR,"03",2-2,💛 Dandelion,UK eBay
2023-05-27,CH11773959,C/CGB-EUR,"03",2-1,💛 Dandelion,UK eBay
2024-08-30,CH11774121,C/CGB-EUR,"03",1-1,💛 Dandelion,UK eBay
2024-11-23,CH11775009,C/CGB-EUR,"03",1-1,💛 Dandelion,UK eBay
2024-06-24,CH11775982,C/CGB-EUR,"03",?-2,💛 Dandelion,UK eBay
2023-05-18,CH11776374,C/CGB-EUR,"03",4-1,💛 Dandelion,UK eBay
2023-04-30,CH11778068,C/CGB-EUR,"03",6-1,💛 Dandelion,UK eBay
2024-04-22,CH11779755,C/CGB-EUR,"03",4-1,💛 Dandelion,UK eBay
2024-04-22,CH11781505,C/CGB-EUR,"03",3-2,💛 Dandelion,UK eBay
2024-04-25,CH11784989,C/CGB-EUR,"03",?-?,💛 Dandelion,UK eBay
2024-08-01,CH11793272,C/CGB-EUR,"03",4-2,💚 Kiwi,UK eBay
2024-07-27,CH11799324,C/CGB-EUR,"03",3-1,💚 Kiwi,UK eBay
2024-06-06,CH11803815,C/CGB-EUR,"03",4-2,💚 Kiwi,UK eBay
2022-07-11,CH11806658,C/CGB-EUR,"03",2-1,💚 Kiwi,UK eBay
2024-09-09,CH11841241,C/CGB-EUR,"04",2-2,🩷 Berry,UK eBay
2024-08-30,CH11861890,C/CGB-EUR,"04",4-2,💜 Grape,UK eBay
2023-05-08,CH11861943,C/CGB-EUR,"04",2-1,💜 Grape,UK eBay
2022-07-03,CH11865836,C/CGB-EUR,"04",1-1,💜 Grape,UK eBay
