Date,Serial number,Model,PCB #,Panel (A-B),Case color,Source
25-Jun-2024,POB09361,CGB-POB-JPN,"03",1-2,SE Pokemon Center orange/blue,UK eBay
19-Jun-2024,POB23258,CGB-POB-JPN,"03",2-1,SE Pokemon Center orange/blue,FR eBay
13-Jun-2024,PD10002003,CGB-POB-JPN-1,"04",6-2,SE Pokemon Center gold-silver,JP eBay
19-Jun-2024,PD10010556,CGB-POB-JPN-1,"04",1-1,SE Pokemon Center gold-silver,JP eBay
13-Jun-2024,PD10036837,CGB-POB-JPN-1,"04",1-1,SE Pokemon Center gold-silver,JP eBay
13-Jun-2024,PD10048313,CGB-POB-JPN-2,"05",1-1,SE Pokemon Center gold-silver,JP eBay
,,,,,,
01-Jul-2024,R861,,,,,Copyright (C) Andrew C.E. Dent 2022-2024
           ,    ,,,,,Work is licensed under CC BY-NC-SA
           ,    ,,,,,https://creativecommons.org/licenses/by-nc-sa/4.0/
