Serial number,Production,PCB #,Panel (A-B),Shell,Source,Date
POB 00350,CGB-POB-JPN,"03",1-2,🧡 SE Pokemon Center 3rd Anniv' orange/blue,JP eBay,2024-12-06
POB 00481,CGB-POB-JPN,?,1-2,🧡 SE Pokemon Center 3rd Anniv' orange/blue,US eBay,2024-09-10
POB 00924,CGB-POB-JPN,?,?-?,🧡 SE Pokemon Center 3rd Anniv' orange/blue,JP eBay,2024-10-31
POB 00974,CGB-POB-JPN,"03",1-1,🧡 SE Pokemon Center 3rd Anniv' orange/blue,JP eBay,2024-11-11
POB 02006,CGB-POB-JPN,"03",1-1,🧡 SE Pokemon Center 3rd Anniv' orange/blue,US YouTube,2025-03-15
POB 02036,CGB-POB-JPN,"03",1-1,🧡 SE Pokemon Center 3rd Anniv' orange/blue,JP eBay,2025-01-19
POB 02984,CGB-POB-JPN,"03",1-1,🧡 SE Pokemon Center 3rd Anniv' orange/blue,JP Hakushin,2024-07-09
POB 03714,Missing,"03",4-2,🧡 SE Pokemon Center 3rd Anniv' orange/blue,JP eBay,2025-12-27
POB 04024,CGB-POB-JPN,"04",1-2,🧡 SE Pokemon Center 3rd Anniv' orange/blue,JP eBay,2025-05-31
POB 05895,CGB-POB-JPN,?,1-1,🧡 SE Pokemon Center 3rd Anniv' orange/blue,JP eBay,2024-09-04
POB 07874,CGB-POB-JPN,?,1-2,🧡 SE Pokemon Center 3rd Anniv' orange/blue,JP eBay,2024-09-10
POB 08802,CGB-POB-JPN,"03",1-1,🧡 SE Pokemon Center 3rd Anniv' orange/blue,JP eBay,2024-11-13
POB 08934,CGB-POB-JPN,"03",5-2,🧡 SE Pokemon Center 3rd Anniv' orange/blue,US YouTube,2024-07-10
POB 09361,CGB-POB-JPN,"03",1-2,🧡 SE Pokemon Center 3rd Anniv' orange/blue,UK eBay,2024-06-25
POB 10310,CGB-POB-JPN,"03",1-2,🧡 SE Pokemon Center 3rd Anniv' orange/blue,US eBay,2025-08-11
POB 10859,CGB-POB-JPN,"03",?-1,🧡 SE Pokemon Center 3rd Anniv' orange/blue,JP eBay,2025-11-25
POB 11390,Missing,"03",1-2,🧡 SE Pokemon Center 3rd Anniv' orange/blue,JP eBay,2024-07-10
POB 12258,CGB-POB-JPN,?,?-2,🧡 SE Pokemon Center 3rd Anniv' orange/blue,JP eBay,2024-08-30
POB 12682,Missing,"03",1-1,🧡 SE Pokemon Center 3rd Anniv' orange/blue,JP eBay,2025-12-21
POB 12977,CGB-POB-JPN,"03",3-1,🧡 SE Pokemon Center 3rd Anniv' orange/blue,JP eBay,2024-07-27
POB 14617,CGB-POB-JPN,"03",1-1,🧡 SE Pokemon Center 3rd Anniv' orange/blue,JP eBay,2025-10-08
POB 16257,CGB-POB-JPN,"03",1-1,🧡 SE Pokemon Center 3rd Anniv' orange/blue,JP eBay,2025-12-03
POB 16459,CGB-POB-JPN,"03",1-2,🧡 SE Pokemon Center 3rd Anniv' orange/blue,US eBay,2026-01-19
POB 16947,Missing,?,3-1,🧡 SE Pokemon Center 3rd Anniv' orange/blue,JP eBay,2025-05-28
POB 18116,CGB-POB-JPN,"03",1-1,🧡 SE Pokemon Center 3rd Anniv' orange/blue,JP eBay,2025-12-21
POB 18384,CGB-POB-JPN,"03",1-1,🧡 SE Pokemon Center 3rd Anniv' orange/blue,JP eBay,2025-11-22
POB 18990,CGB-POB-JPN,"03",1-2,🧡 SE Pokemon Center 3rd Anniv' orange/blue,JP eBay,2024-11-08
POB 19454,CGB-POB-JPN,"03",1-2,🧡 SE Pokemon Center 3rd Anniv' orange/blue,JP eBay,2024-12-06
POB 19492,CGB-POB-JPN,"03",1-2,🧡 SE Pokemon Center 3rd Anniv' orange/blue,JP eBay,2025-10-23
POB 19765,CGB-POB-JPN,"03",1-2,🧡 SE Pokemon Center 3rd Anniv' orange/blue,JP eBay,2024-12-23
POB 19769,CGB-POB-JPN,"03",1-2,🧡 SE Pokemon Center 3rd Anniv' orange/blue,JP eBay,2024-08-19
POB 19799,CGB-POB-JPN,"03",1-1,🧡 SE Pokemon Center 3rd Anniv' orange/blue,JP eBay,2025-11-04
